crab_id,sex,age,mass_kg,cw_mm,Epibiont coverage (H/M/L),pre_blood_met_rate,post_blood_met_rate,cell_density,unbound_hemocyanin,lactate,glucose,protein,,,
261289,M,1,1.2111,220,L,69.2511601,50.95671703,18250000,38.34532374,6.66831683,73.4375,25.8612311,,,
261423,M,1,1.3914,234,0/L,62.26787408,78.70288918,25500000,61.15107914,16.3811881,64.46428571,50.85583153,,,
351036,M,2,1.2264,234,M,97.10616438,18.06017613,21200000,38.99280576,7.91584158,81.5625,55.0674946,,,
351162,M,2,1.0332,210,L,91.99581882,48.28222997,22625000,45.10791367,22.4108911,57.05357143,30.69654428,,,
351174,M,2,1.9095,253,L,15.61279916,78.88284891,26625000,58.77697842,0,88.10267857,51.26079914,,,
351185,M,3,1.318,225,0/L,99.92594841,7.837329287,36000000,68.77697842,45.1485149,80.20089286,48.79859611,,,
375230,M,1,0.9005,211,L,27.28,4.607288889,27100000,20.86330935,6.63861386,25.78947368,12.33531317,,,
375235,M,3,1.3384,245,L,NA,NA,26200000,30.64748201,8.98514851,59.76076555,37.2975162,,,
376912,M,2,1.6898,23.7,NA,94.55556871,37.82222748,23850000,67.98561151,35.1237624,NA,40.2699784,,,
376927,M,1,1.6182,235,M,62.88715857,85.79132369,33750000,39.0647482,11.9108911,98.54910714,62.72948164,,,
376937,M,3,1.6587,26.5,NA,66.00147103,14.59523723,47025000,36.33093525,38.7326733,93.81696429,32.39740821,,,
376942,M,2,1.1114,22.2,NA,36.22603923,92.07046968,33525000,63.95683453,17.4207921,64.44976077,36.14740821,,,
376943,M,1,1.5789,25.7,NA,121.3476724,39.63184496,28575000,71.29496403,5.45049505,50.52631579,50.03779698,,,
376950,M,1,1.5361,23.6,NA,71.95687781,44.51569559,22050000,20.57553957,4.30693069,25.52631579,26.84935205,,,
377014,M,3,1.5576,235,NA,81.81625578,78.58757062,27625000,63.30935252,9.75742574,39.61722488,33.71760259,,,
377056,M,2,1.3125,219,NA,27.33744762,80.52571429,27125000,63.02158273,12.950495,73.59375,28.73650108,,,
377092,M,1,1.5576,209,NA,44.5441962,85.80177196,27500000,53.81294964,11.9108911,60.40669856,21.61717063,,,
419106,M,3,1.4683,24.5 cm,NA,28.79261731,31.131104,30150000,67.98561151,20.8366337,59.80861244,29.77321814,,,
419112,M,2,1.7167,258,NA,38.04881459,78.27184715,30825000,26.44604317,18.9207921,100.0892857,20.12688985,,,
419120,M,1,0.91017,204,NA,70.08167705,41.95365701,29025000,34.73381295,4.2029703,74.62053571,28.57451404,,,
419123,M,1,1.2916,229,NA,97.35645711,101.7553422,1387500,72.51798561,9.75742574,79.19642857,43.89038877,,,
419128,M,3,1.7764,30.2,NA,97.71582977,77.49876154,28575000,55.61151079,0.57920792,78.81696429,44.53023758,,,
419143,M,3,1.6118,24.4,NA,34.1225214,48.99811391,34200000,70.50359712,58.9455446,117.8125,40.8612311,,,
419152,M,1,1.369,226,L,55.66504018,90.6411103,4225000,62.08633094,33.1336634,93.32589286,41.46058315,,,
419156,M,3,1.1986,215,NA,106.8971133,40.99062239,22900000,60.28776978,19.8118812,86.98660714,31.42548596,,,
419157,M,3,1.4133,227,H,85.62971768,45.60877379,3400000,47.62589928,18.1782178,66.69856459,32.25971922,,,
419158,M,1,1.6237,244,NA,58.03658311,40.08375932,22250000,27.85611511,0,42.27272727,21.5199784,,,
419182,M,1,1.2562,230,NA,49.23636364,43.71775195,64000000,16.94964029,14.8514851,58.81696429,13.97948164,,,
